1948,14
1949,14
1942,13
1943,11
1940,17
1941,14
1946,18
1947,17
1944,15
1945,17
2014,167
2011,153
2010,138
2013,166
2012,175
1955,19
1954,13
1957,17
1956,16
1951,17
1950,10
1953,19
1952,14
1959,16
1958,15
1920,12
1921,12
1922,10
1923,13
1924,17
1925,13
1926,15
1927,11
1928,9
1929,12
1933,12
1932,14
1931,12
1930,12
1937,14
1936,14
1935,12
1934,14
1939,12
1938,12
1908,9
1909,11
1906,8
1907,8
1905,6
1903,8
1986,48
1987,53
1984,46
1985,48
1982,45
1983,43
1980,44
1981,108
1988,50
1989,50
1919,13
1918,8
1911,8
1910,9
1913,8
1912,10
1915,7
1914,9
1917,11
1916,12
1991,57
1990,50
1993,57
1992,58
1995,129
1997,124
1996,130
1999,134
1998,120
1890,6
1892,6
1968,19
1969,44
1964,17
1965,16
1966,12
1967,20
1960,20
1961,15
1962,13
1963,11
1889,9
1888,9
1887,6
1886,7
1885,4
1884,3
1979,49
1978,48
1977,46
1976,42
1975,48
1974,38
1973,43
1972,50
1971,47
1970,43
2002,140
2003,135
2000,132
2001,135
2006,136
2007,138
2004,139
2005,128
2008,135
2009,140
